,Event,State ID,Time,Machine
0,1D ,4,21-Jun-2019 16:23:30.159865,Booster
1,E3 ,6,21-Jun-2019 16:23:30.159865,Recycler
2,A5 ,2,21-Jun-2019 16:23:30.159865,NuMI
3,15 ,2,21-Jun-2019 16:23:30.226564,Booster
4,15 ,2,21-Jun-2019 16:23:30.293165,Booster
5,15 ,2,21-Jun-2019 16:23:30.359865,Booster
6,15 ,2,21-Jun-2019 16:23:30.426565,Booster
7,15 ,2,21-Jun-2019 16:23:30.493165,Booster
8,15 ,2,21-Jun-2019 16:23:30.559865,Booster
9,15 ,2,21-Jun-2019 16:23:30.626565,Booster
10,15 ,2,21-Jun-2019 16:23:30.693165,Booster
11,15 ,2,21-Jun-2019 16:23:30.759865,Booster
12,15 ,2,21-Jun-2019 16:23:30.826565,Booster
13,15 ,2,21-Jun-2019 16:23:30.893165,Booster
14,15 ,2,21-Jun-2019 16:23:30.959865,Booster
15,2A ,9,21-Jun-2019 16:23:30.959865,MI
16,AE ,2,21-Jun-2019 16:23:30.959865,NuMI
17,1D ,4,21-Jun-2019 16:23:31.026565,Booster
18,93 ,1,21-Jun-2019 16:23:31.026565,Accumulator
19,E9 ,20,21-Jun-2019 16:23:31.026565,Recycler
20,1C ,2,21-Jun-2019 16:23:31.093165,Booster
21,1C ,2,21-Jun-2019 16:23:31.159865,Booster
22,12 ,1,21-Jun-2019 16:23:31.226865,Booster
23,17 ,5,21-Jun-2019 16:23:31.292865,Booster
24,94 ,1,21-Jun-2019 16:23:31.292865,Accumulator
25,E9 ,20,21-Jun-2019 16:23:31.292865,Recycler
26,1C ,2,21-Jun-2019 16:23:31.359865,Booster
27,1C ,2,21-Jun-2019 16:23:31.426865,Booster
28,1D ,4,21-Jun-2019 16:23:31.492865,Booster
29,32 ,1,21-Jun-2019 16:23:31.492865,Switchyard
30,1D ,4,21-Jun-2019 16:23:31.559865,Booster
31,E3 ,6,21-Jun-2019 16:23:31.559865,Recycler
